#   xsum       ysum
#
7690.7951   0.8275 
7690.9489   0.8138 
7691.1027   0.8389 
7691.2566   0.8158 
7691.4105   0.7110 
7691.5643   0.6316 
7691.7181   0.6971 
7691.8719   0.8197 
7692.0257   0.8816 
7692.1796   0.8974 
7692.3334   0.8932 
7692.4873   0.8726 
7692.6412   0.8606 
7692.7950   0.8678 
7692.9488   0.8884 
7693.1027   0.8963 
7693.2566   0.8704 
7693.4105   0.8486 
7693.5643   0.8675 
7693.7182   0.8962 
7693.8721   0.9129 
7694.0259   0.9133 
7694.1799   0.8793 
7694.3337   0.8397 
7694.4876   0.8346 
7694.6415   0.8477 
7694.7954   0.8555 
7694.9493   0.8265 
7695.1032   0.7729 
7695.2571   0.7866 
7695.4110   0.8535 
7695.5649   0.8829 
7695.7188   0.8807 
7695.8728   0.8886 
7696.0266   0.8948 
7696.1806   0.8896 
7696.3345   0.8924 
7696.4884   0.8777 
7696.6423   0.8298 
7696.7962   0.7889 
7696.9502   0.7829 
7697.1042   0.8113 
7697.2581   0.8556 
7697.4121   0.8891 
7697.5661   0.8894 
7697.7200   0.8751 
7697.8739   0.8795 
7698.0278   0.8753 
7698.1819   0.8396 
7698.3358   0.8179 
7698.4897   0.7973 
7698.6438   0.6816 
7698.7977   0.4687 
7698.9517   0.3291 
7699.1057   0.4125 
7699.2596   0.6048 
7699.4137   0.7179 
7699.5676   0.7543 
7699.7216   0.8056 
7699.8757   0.8707 
7700.0296   0.9060 
7700.1836   0.9094 
7700.3376   0.8934 
7700.4916   0.8795 
7700.6456   0.8687 
7700.7997   0.8590 
7700.9537   0.8611 
7701.1077   0.8817 
7701.2617   0.9009 
7701.4158   0.8731 
7701.5697   0.8313 
7701.7239   0.8281 
7701.8778   0.8330 
7702.0319   0.8252 
7702.1859   0.8252 
7702.3399   0.8369 
7702.4940   0.8449 
7702.6481   0.8401 
7702.8021   0.8483 
7702.9561   0.8631 
7703.1103   0.8637 
7703.2643   0.8792 
7703.4183   0.9071 
7703.5725   0.8987 
