#   xsum       ysum
#
7690.7951   0.2595 
7690.9489   0.2404 
7691.1027   0.2618 
7691.2566   0.2847 
7691.4105   0.2791 
7691.5643   0.2454 
7691.7181   0.2389 
7691.8719   0.2655 
7692.0257   0.2815 
7692.1796   0.2943 
7692.3334   0.2987 
7692.4873   0.2709 
7692.6412   0.2388 
7692.7950   0.2412 
7692.9488   0.2786 
7693.1027   0.3032 
7693.2566   0.2709 
7693.4105   0.2339 
7693.5643   0.2425 
7693.7182   0.2741 
7693.8721   0.3209 
7694.0259   0.3579 
7694.1799   0.3228 
7694.3337   0.2503 
7694.4876   0.2167 
7694.6415   0.2216 
7694.7954   0.2483 
7694.9493   0.2739 
7695.1032   0.2733 
7695.2571   0.2768 
7695.4110   0.2914 
7695.5649   0.2754 
7695.7188   0.2557 
7695.8728   0.2694 
7696.0266   0.2924 
7696.1806   0.3128 
7696.3345   0.3459 
7696.4884   0.3385 
7696.6423   0.2835 
7696.7962   0.2419 
7696.9502   0.2200 
7697.1042   0.2244 
7697.2581   0.2619 
7697.4121   0.3051 
7697.5661   0.3278 
7697.7200   0.3508 
7697.8739   0.3613 
7698.0278   0.3258 
7698.1819   0.2751 
7698.3358   0.2663 
7698.4897   0.2745 
7698.6438   0.2436 
7698.7977   0.1895 
7698.9517   0.1617 
7699.1057   0.1863 
7699.2596   0.2144 
7699.4137   0.2118 
7699.5676   0.2191 
7699.7216   0.2695 
7699.8757   0.3269 
7700.0296   0.3492 
7700.1836   0.3371 
7700.3376   0.3037 
7700.4916   0.2804 
7700.6456   0.2636 
7700.7997   0.2450 
7700.9537   0.2515 
7701.1077   0.3072 
7701.2617   0.3640 
7701.4158   0.3346 
7701.5697   0.2678 
7701.7239   0.2484 
7701.8778   0.2639 
7702.0319   0.2753 
7702.1859   0.2615 
7702.3399   0.2470 
7702.4940   0.2485 
7702.6481   0.2437 
7702.8021   0.2431 
7702.9561   0.2573 
7703.1103   0.2727 
7703.2643   0.3062 
7703.4183   0.3489 
7703.5725   0.3362 
7703.7266   0.2779 
7703.8806   0.2548 
7704.0347   0.2827 
7704.1887   0.3092 
7704.3429   0.3093 
7704.4970   0.2992 
7704.6511   0.2924 
7704.8050   0.2569 
7704.9592   0.2002 
7705.1133   0.1785 
7705.2674   0.1908 
7705.4215   0.2175 
7705.5756   0.2426 
7705.7297   0.2473 
7705.8839   0.2365 
7706.0379   0.2221 
7706.1921   0.2091 
7706.3462   0.2132 
7706.5003   0.2313 
7706.6544   0.2353 
7706.8087   0.2174 
7706.9628   0.2074 
7707.1169   0.2226 
7707.2710   0.2432 
7707.4252   0.2452 
7707.5793   0.2508 
7707.7335   0.2680 
7707.8876   0.2617 
7708.0417   0.2541 
7708.1961   0.2566 
7708.3501   0.2571 
7708.5043   0.2685 
7708.6585   0.2604 
7708.8127   0.2435 
7708.9668   0.2522 
7709.1210   0.2503 
7709.2752   0.2367 
7709.4294   0.2437 
7709.5835   0.2596 
7709.7378   0.2590 
7709.8919   0.2366 
7710.0461   0.2196 
7710.2004   0.2221 
7710.3545   0.2296 
7710.5088   0.2406 
7710.6630   0.2622 
7710.8172   0.2704 
7710.9714   0.2498 
7711.1257   0.2254 
7711.2798   0.2109 
7711.4341   0.2042 
7711.5883   0.2305 
7711.7425   0.3020 
7711.8968   0.3498 
7712.0510   0.3373 
7712.2053   0.3025 
7712.3595   0.2686 
7712.5138   0.2423 
7712.6680   0.2190 
7712.8223   0.1997 
7712.9765   0.1944 
7713.1308   0.2047 
7713.2850   0.2226 
7713.4393   0.2312 
7713.5936   0.2315 
7713.7478   0.2562 
7713.9022   0.3230 
7714.0564   0.3637 
7714.2107   0.3104 
7714.3650   0.2400 
7714.5193   0.2198 
7714.6736   0.2269 
7714.8278   0.2407 
7714.9821   0.2546 
7715.1365   0.2544 
7715.2908   0.2598 
7715.4451   0.2808 
7715.5993   0.2718 
7715.7537   0.2334 
7715.9081   0.2096 
7716.0624   0.2048 
7716.2166   0.2137 
7716.3710   0.2360 
7716.5253   0.2597 
7716.6797   0.2759 
7716.8339   0.2756 
7716.9883   0.2648 
7717.1427   0.2590 
7717.2970   0.2545 
7717.4514   0.2488 
7717.6058   0.2471 
7717.7600   0.2536 
7717.9144   0.2516 
7718.0688   0.2323 
7718.2231   0.2234 
7718.3775   0.2545 
7718.5319   0.2972 
7718.6862   0.2873 
7718.8406   0.2594 
7718.9950   0.2706 
7719.1494   0.2808 
7719.3037   0.2649 
7719.4581   0.2625 
7719.6126   0.2788 
7719.7670   0.2770 
7719.9213   0.2620 
7720.0758   0.2463 
7720.2301   0.2492 
7720.3845   0.2795 
7720.5389   0.2778 
7720.6934   0.2475 
7720.8478   0.2413 
7721.0022   0.2667 
7721.1566   0.3052 
7721.3111   0.3362 
7721.4655   0.3386 
7721.6198   0.2944 
7721.7743   0.2391 
7721.9288   0.2223 
7722.0832   0.2380 
7722.2376   0.2544 
7722.3921   0.2590 
7722.5466   0.2481 
7722.7010   0.2412 
7722.8555   0.2421 
7723.0098   0.2448 
7723.1644   0.2506 
7723.3188   0.2579 
7723.4733   0.2726 
7723.6279   0.2785 
7723.7822   0.2632 
7723.9367   0.2535 
7724.0912   0.2449 
7724.2457   0.2431 
7724.4002   0.2694 
7724.5548   0.2895 
7724.7090   0.2682 
7724.8636   0.2382 
7725.0182   0.2296 
7725.1726   0.2379 
7725.3272   0.2626 
7725.4817   0.2961 
7725.6363   0.3003 
7725.7906   0.2810 
7725.9452   0.2612 
7726.0997   0.2525 
7726.2542   0.2825 
7726.4088   0.3299 
7726.5634   0.3303 
7726.7178   0.2994 
7726.8725   0.2891 
7727.0268   0.2825 
7727.1814   0.2657 
7727.3360   0.2664 
7727.4905   0.2675 
7727.6451   0.2586 
7727.7997   0.2899 
7727.9542   0.3351 
7728.1088   0.3049 
7728.2634   0.2448 
7728.4179   0.2377 
7728.5725   0.2829 
7728.7271   0.3571 
7728.8818   0.4084 
7729.0361   0.3895 
7729.1907   0.3275 
7729.3453   0.2754 
7729.4999   0.2498 
7729.6545   0.2572 
7729.8091   0.2833 
7729.9637   0.2881 
7730.1183   0.2633 
7730.2728   0.2747 
7730.4275   0.3248 
7730.5821   0.3329 
7730.7367   0.3258 
7730.8914   0.3415 
7731.0460   0.3240 
7731.2006   0.2726 
7731.3552   0.2484 
7731.5099   0.2874 
7731.6645   0.3409 
7731.8191   0.3341 
7731.9737   0.3022 
7732.1283   0.2776 
7732.2830   0.2463 
7732.4377   0.2340 
7732.5923   0.2610 
7732.7470   0.3205 
7732.9016   0.3671 
7733.0562   0.3548 
7733.2109   0.3280 
7733.3658   0.3162 
7733.5204   0.2773 
7733.6751   0.2450 
7733.8296   0.2857 
7733.9845   0.3703 
7734.1391   0.4140 
7734.2937   0.3816 
7734.4484   0.3102 
7734.6031   0.2699 
7734.7577   0.2598 
7734.9125   0.2534 
7735.0671   0.2625 
7735.2218   0.2729 
7735.3767   0.2641 
7735.5313   0.2591 
7735.6861   0.2891 
7735.8407   0.3262 
7735.9955   0.3354 
7736.1501   0.3489 
7736.3049   0.3713 
7736.4595   0.3407 
7736.6144   0.2823 
7736.7691   0.2666 
7736.9239   0.3061 
7737.0786   0.3695 
7737.2333   0.3675 
7737.3880   0.2971 
7737.5427   0.2581 
7737.6976   0.2658 
7737.8523   0.2844 
7738.0071   0.3207 
7738.1619   0.3933 
7738.3166   0.4600 
7738.4714   0.4564 
7738.6262   0.3679 
7738.7810   0.2886 
7738.9357   0.2957 
7739.0904   0.3243 
7739.2452   0.3096 
7739.4001   0.3036 
7739.5549   0.3339 
7739.7096   0.3392 
7739.8644   0.3020 
7740.0192   0.2720 
7740.1741   0.2928 
7740.3289   0.3550 
7740.4836   0.3727 
7740.6384   0.3223 
7740.7933   0.2698 
7740.9481   0.2462 
7741.1029   0.2380 
7741.2577   0.2454 
7741.4125   0.2850 
7741.5674   0.3399 
7741.7222   0.3625 
7741.8770   0.3485 
7742.0320   0.3434 
7742.1867   0.3814 
7742.3416   0.4144 
7742.4963   0.3772 
7742.6514   0.3017 
7742.8062   0.2687 
7742.9609   0.2563 
7743.1159   0.2212 
7743.2707   0.2075 
7743.4256   0.2337 
7743.5804   0.2695 
7743.7354   0.2962 
7743.8902   0.3011 
7744.0451   0.2821 
7744.2000   0.2819 
7744.3548   0.3152 
7744.5097   0.3260 
7744.6647   0.3008 
7744.8195   0.2791 
7744.9744   0.2745 
7745.1294   0.2594 
7745.2842   0.2442 
7745.4391   0.2377 
7745.5941   0.2296 
7745.7489   0.2321 
7745.9038   0.2500 
7746.0588   0.2723 
7746.2137   0.2760 
7746.3686   0.2581 
7746.5236   0.2597 
7746.6784   0.2861 
7746.8335   0.2980 
7746.9883   0.2776 
7747.1433   0.2511 
7747.2982   0.2527 
7747.4531   0.2661 
7747.6082   0.2729 
7747.7630   0.2702 
7747.9181   0.2618 
7748.0730   0.2499 
7748.2279   0.2519 
7748.3830   0.2788 
7748.5379   0.2826 
7748.6929   0.2559 
7748.8479   0.2531 
7749.0028   0.2651 
7749.1579   0.2507 
7749.3127   0.2210 
7749.4678   0.1955 
7749.6227   0.1827 
7749.7779   0.1866 
7749.9327   0.1964 
7750.0878   0.2064 
7750.2428   0.2249 
7750.3978   0.2415 
7750.5528   0.2366 
7750.7077   0.2199 
7750.8628   0.2119 
7751.0178   0.2234 
7751.1729   0.2327 
7751.3279   0.2216 
7751.4829   0.2178 
7751.6379   0.2252 
7751.7930   0.2359 
7751.9480   0.2565 
7752.1030   0.2760 
7752.2580   0.2699 
7752.4131   0.2537 
7752.5683   0.2555 
7752.7232   0.2571 
7752.8783   0.2413 
7753.0333   0.2167 
7753.1884   0.1975 
7753.3435   0.1987 
7753.4986   0.2207 
7753.6536   0.2371 
7753.8087   0.2534 
7753.9638   0.2956 
7754.1189   0.3103 
7754.2739   0.2803 
7754.4290   0.2768 
7754.5841   0.2969 
7754.7393   0.2799 
7754.8943   0.2441 
7755.0495   0.2275 
7755.2045   0.2260 
7755.3597   0.2235 
7755.5147   0.2177 
7755.6698   0.2331 
7755.8250   0.2708 
7755.9801   0.2911 
7756.1352   0.2953 
7756.2903   0.2946 
7756.4455   0.2623 
7756.6006   0.2231 
7756.7557   0.2212 
7756.9109   0.2385 
7757.0660   0.2366 
7757.2211   0.2208 
7757.3763   0.2121 
7757.5314   0.2133 
7757.6866   0.2156 
7757.8417   0.2124 
7757.9969   0.2098 
7758.1521   0.2180 
7758.3072   0.2263 
7758.4624   0.2262 
7758.6175   0.2291 
7758.7728   0.2489 
7758.9279   0.2896 
7759.0830   0.3164 
7759.2382   0.3000 
7759.3935   0.2658 
7759.5486   0.2309 
7759.7039   0.2064 
7759.8591   0.1978 
7760.0142   0.1972 
7760.1694   0.2078 
7760.3246   0.2251 
7760.4799   0.2347 
7760.6351   0.2533 
7760.7903   0.2854 
7760.9455   0.2966 
7761.1007   0.2912 
7761.2559   0.2961 
7761.4111   0.2939 
7761.5664   0.2833 
7761.7216   0.2650 
7761.8768   0.2297 
7762.0321   0.2046 
7762.1873   0.2080 
7762.3426   0.2341 
