#   xsum       ysum
#
7708.3313   0.6166 
7708.5515   0.6229 
7708.7722   0.5951 
7708.9923   0.6178 
7709.2125   0.6118 
7709.4326   0.6214 
7709.6530   0.6570 
7709.8735   0.6120 
7710.0936   0.5373 
7710.3138   0.5192 
7710.5340   0.5917 
7710.7546   0.6759 
7710.9749   0.6465 
7711.1951   0.5850 
7711.4152   0.5298 
7711.6359   0.5616 
7711.8561   0.7141 
7712.0764   0.7520 
7712.2966   0.6915 
7712.5173   0.6008 
7712.7375   0.5141 
7712.9578   0.4896 
7713.1781   0.5344 
7713.3988   0.5984 
7713.6190   0.6157 
7713.8393   0.6674 
7714.0598   0.6789 
7714.2803   0.5069 
7714.5006   0.4978 
7714.7209   0.5945 
7714.9416   0.6368 
7715.1620   0.6375 
7715.3822   0.6613 
7715.6028   0.6416 
7715.8233   0.5693 
7716.0436   0.5502 
7716.2640   0.5827 
7716.4848   0.6278 
7716.7051   0.6514 
7716.9254   0.6612 
7717.1462   0.6520 
7717.3666   0.6405 
7717.5869   0.6340 
7717.8076   0.6417 
7718.0281   0.6054 
7718.2485   0.5759 
7718.4691   0.6434 
7718.6896   0.6321 
7718.9101   0.6216 
7719.1307   0.6752 
7719.3513   0.6584 
7719.5717   0.6755 
7719.7923   0.6756 
7720.0130   0.6235 
7720.2334   0.5810 
7720.4542   0.6265 
7720.6747   0.6133 
7720.8951   0.6281 
7721.1160   0.7018 
7721.3364   0.7643 
7721.5570   0.7214 
7721.7778   0.5953 
7721.9982   0.5952 
7722.2190   0.6395 
7722.4396   0.6291 
7722.6602   0.6074 
7722.8810   0.5997 
7723.1016   0.5342 
7723.3221   0.5328 
7723.5430   0.6247 
7723.7635   0.6411 
7723.9842   0.6198 
7724.2050   0.6112 
7724.4255   0.6690 
7724.6464   0.6733 
7724.8670   0.5671 
7725.0877   0.5093 
7725.3085   0.5922 
7725.5290   0.6915 
7725.7500   0.6810 
7725.9706   0.6377 
7726.1914   0.6354 
7726.4121   0.7254 
7726.6329   0.7115 
7726.8538   0.6897 
7727.0743   0.6772 
7727.2954   0.6379 
7727.5160   0.5690 
7727.7368   0.5636 
7727.9576   0.6684 
7728.1784   0.6123 
7728.3993   0.5955 
7728.6199   0.6966 
7728.8409   0.8001 
7729.0615   0.7794 
7729.2827   0.6826 
7729.5033   0.6259 
7729.7243   0.6600 
7729.9450   0.6797 
7730.1659   0.5990 
7730.3867   0.6509 
7730.6077   0.7192 
7730.8285   0.7464 
7731.0493   0.7295 
7731.2703   0.6397 
7731.4912   0.6438 
7731.7121   0.7154 
7731.9329   0.6931 
7732.1540   0.6592 
7732.3747   0.6135 
7732.5958   0.6440 
7732.8166   0.7404 
7733.0377   0.7614 
7733.2584   0.7262 
7733.4796   0.6550 
7733.7003   0.5789 
7733.9215   0.6981 
7734.1424   0.7999 
7734.3635   0.7356 
7734.5843   0.6718 
7734.8054   0.6536 
7735.0263   0.6556 
7735.2474   0.6817 
7735.4684   0.6414 
7735.6894   0.6827 
7735.9104   0.7518 
7736.1314   0.7499 
7736.3525   0.7499 
7736.5734   0.6729 
7736.7946   0.6591 
7737.0155   0.7333 
7737.2367   0.7192 
7737.4577   0.6206 
7737.6789   0.6428 
7737.8998   0.6926 
7738.1210   0.7774 
7738.3421   0.8451 
7738.5631   0.7588 
7738.7844   0.6435 
7739.0053   0.6939 
7739.2266   0.7017 
7739.4476   0.7115 
7739.6688   0.7371 
7739.8899   0.6685 
7740.1110   0.6501 
7740.3323   0.7456 
7740.5533   0.7516 
7740.7746   0.6678 
7740.9956   0.6081 
7741.2168   0.5824 
7741.4381   0.6625 
7741.6591   0.7582 
7741.8805   0.7482 
7742.1016   0.7571 
7742.3228   0.8067 
7742.5440   0.7213 
7742.7652   0.6100 
7742.9866   0.5636 
7743.2078   0.5063 
7743.4289   0.5918 
7743.6501   0.6884 
7743.8713   0.7064 
7744.0926   0.6528 
7744.3140   0.6782 
7744.5352   0.7201 
7744.7566   0.6725 
7744.9778   0.6443 
7745.1990   0.5965 
7745.4204   0.5899 
7745.6417   0.5916 
7745.8629   0.6255 
7746.0843   0.6467 
7746.3056   0.5775 
7746.5269   0.5938 
7746.7483   0.6863 
7746.9696   0.6687 
7747.1909   0.6196 
7747.4124   0.6615 
7747.6337   0.6867 
7747.8550   0.6550 
7748.0764   0.5475 
7748.2977   0.4953 
7748.5191   0.5659 
7748.7406   0.5300 
7748.9619   0.5545 
7749.1833   0.5772 
7749.4048   0.5146 
7749.6262   0.4633 
7749.8475   0.4862 
7750.0691   0.5158 
7750.2904   0.5529 
7750.5118   0.5938 
7750.7333   0.5621 
7750.9547   0.5225 
7751.1762   0.5260 
7751.3977   0.5360 
7751.6192   0.5832 
7751.8406   0.6226 
7752.0621   0.6685 
7752.2837   0.6621 
7752.5052   0.6535 
7752.7266   0.6460 
7752.9480   0.5732 
7753.1697   0.4920 
7753.3912   0.5110 
7753.6127   0.5901 
7753.8342   0.6277 
7754.0559   0.6931 
7754.2774   0.6651 
7754.4988   0.6690 
7754.7204   0.6598 
7754.9421   0.6086 
7755.1636   0.5964 
7755.3851   0.5881 
7755.6067   0.5749 
7755.8284   0.6532 
7756.0499   0.7049 
7756.2715   0.7076 
7756.4931   0.6149 
7756.7148   0.5637 
7756.9364   0.6209 
7757.1580   0.6048 
7757.3796   0.5725 
7757.6012   0.5781 
7757.8230   0.5662 
7758.0446   0.5571 
7758.2662   0.5945 
7758.4879   0.5991 
7758.7096   0.6205 
7758.9313   0.6885 
7759.1530   0.7127 
7759.3746   0.6477 
7759.5963   0.5667 
7759.8180   0.5194 
7760.0399   0.5140 
7760.2615   0.5465 
7760.4832   0.5839 
7760.7049   0.6579 
7760.9267   0.6999 
7761.1484   0.6897 
7761.3702   0.6989 
7761.5920   0.6844 
7761.8137   0.6127 
7762.0355   0.5275 
7762.2572   0.5588 
7762.4790   0.6403 
7762.7008   0.6384 
7762.9226   0.5986 
7763.1444   0.6319 
7763.3663   0.6876 
7763.5880   0.7229 
7763.8097   0.6093 
7764.0317   0.5850 
7764.2535   0.6230 
7764.4754   0.6213 
7764.6972   0.6453 
7764.9190   0.7138 
7765.1409   0.6778 
7765.3627   0.5911 
7765.5846   0.5729 
7765.8065   0.5549 
7766.0284   0.6666 
7766.2503   0.7467 
7766.4722   0.6554 
7766.6941   0.5989 
7766.9160   0.6932 
7767.1379   0.7251 
7767.3598   0.5587 
7767.5817   0.4817 
7767.8037   0.5562 
7768.0256   0.6314 
7768.2476   0.6957 
7768.4695   0.7160 
7768.6915   0.6446 
7768.9134   0.6127 
7769.1354   0.5996 
7769.3574   0.6241 
7769.5793   0.6458 
7769.8014   0.5858 
7770.0233   0.5850 
7770.2454   0.6521 
7770.4673   0.6933 
7770.6894   0.6473 
7770.9114   0.6279 
7771.1335   0.6558 
7771.3555   0.6409 
7771.5775   0.6109 
7771.7996   0.5755 
7772.0216   0.6101 
7772.2437   0.6737 
7772.4658   0.7227 
7772.6878   0.6995 
7772.9099   0.7084 
7773.1320   0.6936 
7773.3540   0.6165 
7773.5762   0.5736 
7773.7983   0.5896 
7774.0205   0.6228 
7774.2425   0.6723 
7774.4646   0.6668 
7774.6868   0.6190 
7774.9089   0.6774 
7775.1311   0.7614 
7775.3532   0.7029 
7775.5754   0.6248 
7775.7976   0.6164 
7776.0197   0.6359 
7776.2419   0.6352 
7776.4641   0.6221 
7776.6862   0.6360 
7776.9084   0.7332 
7777.1307   0.7503 
7777.3528   0.6733 
7777.5750   0.6070 
7777.7973   0.6136 
7778.0195   0.6665 
7778.2417   0.7046 
7778.4639   0.6908 
7778.6862   0.6326 
7778.9084   0.5778 
7779.1307   0.6291 
7779.3530   0.6922 
7779.5752   0.6882 
7779.7976   0.6821 
7780.0198   0.6682 
7780.2420   0.6738 
7780.4644   0.6760 
7780.6866   0.7092 
7780.9090   0.6558 
7781.1313   0.5810 
7781.3537   0.6210 
7781.5759   0.6525 
7781.7983   0.6698 
7782.0207   0.7478 
7782.2430   0.7482 
7782.4653   0.6527 
7782.6876   0.5951 
7782.9101   0.5641 
