#1                   ******************************************************************************************
#                    *                                                                                        *
#                    *      BESANCON MODEL OF STELLAR POPULATION SYNTHESIS 2003-12
#                    *             
#                    * 
#                    ******************************************************************************************
#
#
#  (l =   200.0; b =   90.0)  Distance  0.0 a  50.0 kpc;  Solid angle      1.000  square degree
#  Adaptive step in distance  (20,30,50)
#  SELECTIONS :
#      Absolute magnitude:    -7.00 - 20.00
#      Apparent magnitudes Band   u  :-99.00- 99.00
#                          Band   g  :-99.00- 99.00
#                          Band   r  :-99.00- 99.00
#                          Band   i  : 15.00- 23.00
#                          Band   z  :-99.00- 99.00
#
#      Selection in age: from .00E9Gyr to Bulge
#      Spectral types: O0.0 - D5.0  Luminosity class    : 1 - 7  logTeff: 3.00 -  6.00  Log g:        -3.00-        8.00
#      Colour :  u-g      -99.00 -  99.00 Step    10.00
#                g-r      -99.00 -  99.00 Step    10.00
#                r-i      -99.00 -  99.00 Step    10.00
#                i-z      -99.00 -  99.00 Step    10.00
#
#      No kinematics                           
#   Computation mode :
#      Poisson drawings (ran1) for N <=  6
#      Photometric error laws:   i : 0.000000E+00+mag*0.000000E+00+mag^2*0.000000E+00
#                                u : 0.000000E+00+mag*0.000000E+00+mag^2*0.000000E+00
#                                g : 0.000000E+00+mag*0.000000E+00+mag^2*0.000000E+00
#                                r : 0.000000E+00+mag*0.000000E+00+mag^2*0.000000E+00
#                                z : 0.000000E+00+mag*0.000000E+00+mag^2*0.000000E+00
#      System: CFHT-Megacam : u* g r i z   0.323  0.257  0.300  0.412  0.718
#      Creation of a catalogue of simulated stars
#  
#   Evolution model parameters 
#     Nb of tracks : 881 (with masses)                                               
#     Low masses from Vandenberg                                                     
#     Masses >1Msun Schaller et al.                                                  
#     Type of disc luminosity function: Hipparcos                                    
#     Integration time (Gyr):  10.000                                                
#          SFR : SFR consta    , nu : 0.400                                          
#          IMF : IMF 0.6 (<1Msun), 2.0 (>1Msun)                                      
#     Bolometric corrections : Flower                                                
#     Grid :   mag(sup, inf)=(-11.000 , 17.00 ) 10.000                               
#          LogTeff(sup, inf)=(  3.400 ,  5.50 )100.000                               
#       WD disc Wood 10Gyr Bergeron colors                                           
#     Pop   2  bv923m3.lf   hb3m3.lf     Age= 11.0Gyr  x=-0.5  WD IMF Salpeter 12Gyr 
#     Pop   3  bv923m4.lf   hb3m4.lf     Age= 14.0Gyr  x=-0.5  WD IMF2 14Gyr halo DA 
#     #  Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr                        
#  
#        Simulation of the stellar content of the Galaxy                       
#  
#  DENSITY LAWS (distances in pc, densities in M0/PC3)
#      Disc density law: Einasto; bulge Dwek G2; with warp and flare 
#      Distance Sun - Galactic Center : 8500.00  Disc outer truncation :14000.00
#      Sun position z_0  :15.00 Warp: starting position   8400.00 pc, angle  1.57080 radians, slope  0.18000 Flare: slope    0.5450E-06 starting position   9500.00 pc
#      Disc scale length: Young disc: 5000.0 3000.0; Old disc: 2530.0 1320.0
#      Disc excentricities : 0.0140 0.0268 0.0375 0.0551 0.0696 0.0785 0.0791
#      Thick disc: Modified exponential    800.00 2500.00  400.00 density correction   1.000 White dwarfs: 0.50609E-03/pc3
#      Spheroid: excentricity: 0.7600 exponent:  2.440 density correction   1.000 Halo white dwarfs: 0.28286E-03/pc3
#      Interstellar matter: Einasto law: excentricity and scale lengths in pc 0.0140  7222.0  5777.0
#      Disc mass density as a fct of age in M/pc3 :.003999  .007902  .006224  .004020  .005814  .004928  .006590
#      Stellar densities in */pc3 for Mv<8 (disc, Th.Disc, Spheroid) :.154E-01  .103E-02  .794E-05  . White dwarfs:.660E-02  .506E-03  .283E-03
#      Interstellar matter ( M/pc3) :.0210
#  
#      bulge Dwek G2;    1.590/ 0.424/ 0.42(kpc)  alpha (deg) 78.90 gamma  91.27 beta   3.50 Normalisation    0.2544E+11 x   1.0000 Cutoff   2.54kpc
#
#  METALLICITIES     .15E9  1. E9  2. E9  3. E9  5. E9  7. E9  10.E9  Th.D.  Spher  Bulge
#      [FE/H]         0.01   0.03   0.03   0.01  -0.07  -0.14  -0.37  -0.78  -1.78   0.00
#      Dispersion     0.12   0.12   0.10   0.11   0.18   0.17   0.20   0.30   0.50   0.40
#      Gradient -    -0.07  -0.07  -0.07  -0.07  -0.07  -0.07  -0.07   0.00   0.00   0.00
#      Gradient |     0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
#  Absorption at s.n. : 0.70 mag./kpc   0 clouds
#  Dist    Mv  CL Typ  LTef  logg Age Mass  u-g    g-r    r-i    i-z    i   [Fe/H] l           b         Av   Mbol
  2.575  7.60  5 6.51 3.655  4.73  8 0.60  1.522  0.789  0.315  0.137 19.007 -1.23 200.00000  90.00000  0.061  7.078
  2.575  7.00  5 6.29 3.684  4.70  8 0.65  1.555  0.671  0.245  0.114 18.536 -0.64 200.00000  90.00000  0.061  6.625
  2.575  6.20  5 5.75 3.726  4.65  8 0.71  1.133  0.498  0.199  0.084 17.893 -0.72 200.00000  90.00000  0.061  5.982
  2.575  5.80  5 5.42 3.746  4.61  8 0.75  0.966  0.424  0.166  0.069 17.636 -0.63 200.00000  90.00000  0.061  5.637
  2.575  5.20  5 5.04 3.771  4.52  8 0.81  0.775  0.331  0.121  0.042 17.124 -0.80 200.00000  90.00000  0.061  5.084
  2.575  4.60  5 4.80 3.787  4.38  8 0.86  0.749  0.287  0.089  0.020 16.456 -0.62 200.00000  90.00000  0.061  4.502
  2.575  4.20  5 4.73 3.793  4.26  8 0.88  0.730  0.265  0.078  0.011 16.149 -0.67 200.00000  90.00000  0.061  4.108
  2.575  6.60  5 5.84 3.721  4.73  9 0.62  1.034  0.507  0.210  0.083 18.416 -0.98 200.00000  90.00000  0.061  6.392
  2.625 12.00  5 7.30 3.546  5.11  8 0.19  2.685  1.418  0.800  0.382 22.824 -1.00 200.00000  90.00000  0.061 10.353
  2.625 11.60  5 7.24 3.554  5.08  8 0.21  2.507  1.356  0.779  0.379 22.517 -0.85 200.00000  90.00000  0.061 10.082
  2.625 11.00  5 7.16 3.566  5.03  8 0.26  2.365  1.360  0.667  0.334 21.882 -0.91 200.00000  90.00000  0.061  9.642
  2.625 10.80  5 7.14 3.569  5.01  8 0.28  2.318  1.377  0.608  0.290 21.869 -1.21 200.00000  90.00000  0.061  9.490
  2.625 10.40  5 7.09 3.576  4.98  8 0.32  2.251  1.307  0.590  0.296 21.417 -0.89 200.00000  90.00000  0.061  9.179
  2.625  9.80  5 7.01 3.588  4.93  8 0.40  2.158  1.228  0.611  0.308 20.803 -0.79 200.00000  90.00000  0.061  8.713
  2.625  9.60  5 6.98 3.592  4.91  8 0.42  2.137  1.198  0.614  0.299 20.614 -0.72 200.00000  90.00000  0.061  8.559
  2.625  9.20  5 6.91 3.601  4.87  8 0.47  2.111  1.137  0.600  0.247 20.189 -0.51 200.00000  90.00000  0.061  8.252
  2.625  9.00  5 6.88 3.606  4.85  8 0.49  2.037  1.105  0.553  0.215 20.095 -0.69 200.00000  90.00000  0.061  8.101
  2.625  8.80  5 6.84 3.611  4.82  8 0.50  1.823  1.043  0.512  0.203 20.020 -1.55 200.00000  90.00000  0.061  7.951
  2.625  8.20  5 6.70 3.631  4.77  8 0.56  1.736  0.930  0.394  0.182 19.568 -0.90 200.00000  90.00000  0.061  7.513
  2.675 11.00  5 7.16 3.566  5.03  8 0.26  2.278  1.231  0.828  0.379 21.932 -0.28 200.00000  90.00000  0.061  9.642
  2.675 10.60  5 7.11 3.573  4.99  8 0.30  2.267  1.343  0.575  0.291 21.776 -0.99 200.00000  90.00000  0.061  9.335
  2.675 10.20  5 7.06 3.580  4.96  8 0.35  2.204  1.294  0.580  0.302 21.375 -0.96 200.00000  90.00000  0.061  9.022
  2.675  9.60  5 6.98 3.592  4.91  8 0.42  2.111  1.205  0.587  0.301 20.608 -0.86 200.00000  90.00000  0.061  8.559
  2.675  8.60  5 6.80 3.617  4.80  8 0.52  2.092  1.023  0.378  0.219 20.028 -0.33 200.00000  90.00000  0.061  7.803
  2.675  7.40  5 6.44 3.665  4.72  8 0.62  1.473  0.746  0.290  0.124 18.956 -1.08 200.00000  90.00000  0.061  6.930
  2.675  6.60  5 6.12 3.705  4.67  8 0.68  1.115  0.565  0.233  0.090 18.302 -1.15 200.00000  90.00000  0.061  6.310
  2.675  6.00  5 5.58 3.737  4.63  8 0.73  1.106  0.463  0.181  0.078 17.835 -0.53 200.00000  90.00000  0.061  5.812
  2.675  5.80  5 5.42 3.746  4.61  8 0.75  0.787  0.391  0.172  0.076 17.618 -1.43 200.00000  90.00000  0.061  5.637
  2.675  4.00  5 4.73 3.793  4.18  8 0.90  0.767  0.274  0.073  0.010 16.119 -0.40 200.00000  90.00000  0.061  3.911
  2.675 10.40  5 6.93 3.599  5.07  9 0.23  2.003  1.157  0.527  0.280 21.581 -1.01 200.00000  90.00000  0.061  9.533
  2.675 10.00  5 6.87 3.606  5.03  9 0.27  1.808  1.056  0.541  0.208 21.121 -2.43 200.00000  90.00000  0.061  9.200
  2.675  8.00  5 6.52 3.654  4.84  9 0.51  1.399  0.770  0.340  0.134 19.544 -2.78 200.00000  90.00000  0.061  7.533
  2.725 11.40  5 7.21 3.558  5.06  8 0.23  2.500  1.415  0.711  0.342 22.283 -1.11 200.00000  90.00000  0.061  9.940
  2.725 10.80  5 7.14 3.569  5.01  8 0.28  2.310  1.241  0.749  0.349 21.851 -0.42 200.00000  90.00000  0.061  9.490
  2.725 10.40  5 7.09 3.576  4.98  8 0.32  2.228  1.330  0.563  0.281 21.622 -1.10 200.00000  90.00000  0.061  9.179
  2.725 10.20  5 7.06 3.580  4.96  8 0.35  2.237  1.260  0.630  0.310 21.224 -0.72 200.00000  90.00000  0.061  9.022
  2.725 10.00  5 7.04 3.583  4.95  8 0.37  2.170  1.278  0.573  0.305 21.086 -1.00 200.00000  90.00000  0.061  8.867
  2.725  9.20  5 6.91 3.601  4.87  8 0.47  2.080  1.138  0.576  0.253 20.429 -0.65 200.00000  90.00000  0.061  8.252
  2.725  9.00  5 6.88 3.606  4.85  8 0.49  1.931  1.098  0.531  0.218 20.207 -1.15 200.00000  90.00000  0.061  8.101
  2.725  8.60  5 6.80 3.617  4.80  8 0.52  2.104  1.021  0.371  0.222 20.035 -0.29 200.00000  90.00000  0.061  7.803
  2.725  8.40  5 6.75 3.623  4.78  8 0.54  1.875  0.984  0.433  0.194 19.793 -0.88 200.00000  90.00000  0.061  7.657
  2.725  7.80  5 6.58 3.647  4.74  8 0.59  1.574  0.833  0.342  0.151 19.299 -1.20 200.00000  90.00000  0.061  7.224
  2.725  5.40  5 5.15 3.763  4.55  8 0.79  0.853  0.368  0.132  0.051 17.388 -0.51 200.00000  90.00000  0.061  5.272
  2.725 10.40  5 6.93 3.599  5.07  9 0.23  1.877  1.112  0.532  0.261 21.594 -2.45 200.00000  90.00000  0.061  9.533
  2.775 11.80  5 7.27 3.550  5.09  8 0.20  2.633  1.429  0.766  0.358 22.801 -1.11 200.00000  90.00000  0.061 10.220
  2.775 11.40  5 7.21 3.558  5.06  8 0.23  2.492  1.400  0.721  0.359 22.373 -0.99 200.00000  90.00000  0.061  9.940
  2.775 11.00  5 7.16 3.566  5.03  8 0.26  2.263  1.227  0.847  0.384 21.983 -0.23 200.00000  90.00000  0.061  9.642
  2.775 10.40  5 7.09 3.576  4.98  8 0.32  2.259  1.296  0.603  0.299 21.576 -0.82 200.00000  90.00000  0.061  9.179
  2.775 10.00  5 7.04 3.583  4.95  8 0.37  2.198  1.258  0.610  0.309 21.214 -0.82 200.00000  90.00000  0.061  8.867
  2.775  9.80  5 7.01 3.588  4.93  8 0.40  2.181  1.219  0.639  0.308 20.937 -0.65 200.00000  90.00000  0.061  8.713
  2.775  9.60  5 6.98 3.592  4.91  8 0.42  2.112  1.205  0.588  0.301 20.701 -0.86 200.00000  90.00000  0.061  8.559
  2.775  9.00  5 6.88 3.606  4.85  8 0.49  1.917  1.094  0.533  0.216 20.315 -1.23 200.00000  90.00000  0.061  8.101
  2.775  6.00  5 5.58 3.737  4.63  8 0.73  1.052  0.457  0.182  0.078 17.913 -0.66 200.00000  90.00000  0.061  5.812
  2.775  5.60  5 5.28 3.755  4.58  8 0.77  0.776  0.367  0.154  0.063 17.654 -1.23 200.00000  90.00000  0.061  5.457
  2.775  4.60  5 4.80 3.787  4.38  8 0.86  0.758  0.290  0.089  0.020 16.643 -0.55 200.00000  90.00000  0.061  4.502
  2.775  8.80  5 6.70 3.630  4.93  9 0.43  1.574  0.910  0.416  0.173 20.298 -1.58 200.00000  90.00000  0.061  8.187
  2.825 11.40  5 7.21 3.558  5.06  8 0.23  2.430  1.317  0.772  0.375 22.367 -0.74 200.00000  90.00000  0.061  9.940
  2.825 11.20  5 7.19 3.562  5.04  8 0.24  2.406  1.343  0.720  0.355 22.253 -0.83 200.00000  90.00000  0.061  9.792
  2.825 11.00  5 7.16 3.566  5.03  8 0.26  2.360  1.340  0.682  0.338 22.188 -0.84 200.00000  90.00000  0.061  9.642
  2.825 10.40  5 7.09 3.576  4.98  8 0.32  2.287  1.259  0.648  0.309 21.504 -0.61 200.00000  90.00000  0.061  9.179
  2.825 10.00  5 7.04 3.583  4.95  8 0.37  2.213  1.246  0.632  0.311 21.163 -0.72 200.00000  90.00000  0.061  8.867
  2.825  9.80  5 7.01 3.588  4.93  8 0.40  2.206  1.193  0.745  0.340 20.806 -0.20 200.00000  90.00000  0.061  8.713
  2.825  9.60  5 6.98 3.592  4.91  8 0.42  2.052  1.208  0.557  0.290 20.928 -1.25 200.00000  90.00000  0.061  8.559
  2.825  9.40  5 6.95 3.596  4.89  8 0.44  2.119  1.170  0.610  0.282 20.675 -0.65 200.00000  90.00000  0.061  8.405
  2.825  9.20  5 6.91 3.601  4.87  8 0.47  2.093  1.138  0.586  0.251 20.354 -0.59 200.00000  90.00000  0.061  8.252
  2.825  9.00  5 6.88 3.606  4.85  8 0.49  1.953  1.104  0.529  0.221 20.354 -1.01 200.00000  90.00000  0.061  8.101
  2.825  8.20  5 6.70 3.631  4.77  8 0.56  1.838  0.935  0.386  0.184 19.772 -0.70 200.00000  90.00000  0.061  7.513
  2.825  7.20  5 6.37 3.674  4.71  8 0.63  1.365  0.698  0.275  0.109 18.930 -1.22 200.00000  90.00000  0.061  6.779
  2.825  6.60  5 6.12 3.705  4.67  8 0.68  1.292  0.578  0.226  0.094 18.557 -0.77 200.00000  90.00000  0.061  6.310
  2.825  6.00  5 5.58 3.737  4.63  8 0.73  0.963  0.447  0.184  0.076 17.899 -0.88 200.00000  90.00000  0.061  5.812
  2.825  5.20  5 5.04 3.771  4.52  8 0.81  0.813  0.342  0.118  0.042 17.215 -0.55 200.00000  90.00000  0.061  5.084
  2.825  9.00  5 6.74 3.625  4.95  9 0.41  1.742  0.955  0.436  0.185 20.406 -1.35 200.00000  90.00000  0.061  8.351
  2.875 11.80  5 7.27 3.550  5.09  8 0.20  2.445  1.255  0.859  0.407 22.878 -0.58 200.00000  90.00000  0.061 10.220
  2.875 11.60  5 7.24 3.554  5.08  8 0.21  2.549  1.401  0.754  0.370 22.586 -0.97 200.00000  90.00000  0.061 10.082
  2.875  9.40  5 6.95 3.596  4.89  8 0.44  2.031  1.178  0.543  0.288 20.649 -1.11 200.00000  90.00000  0.061  8.405
  2.875  9.00  5 6.88 3.606  4.85  8 0.49  1.959  1.104  0.530  0.221 20.331 -0.98 200.00000  90.00000  0.061  8.101
  2.875  8.00  5 6.64 3.638  4.75  8 0.57  1.932  0.903  0.349  0.182 19.557 -0.46 200.00000  90.00000  0.061  7.368
  2.875  4.80  5 4.87 3.783  4.43  8 0.84  0.775  0.306  0.096  0.026 17.023 -0.51 200.00000  90.00000  0.061  4.698
  2.875  3.60  4 4.69 3.777  3.97  8 0.92  0.754  0.309  0.108  0.036 15.753 -0.79 200.00000  90.00000  0.061  3.507
  2.875  9.80  5 6.85 3.610  5.02  9 0.29  1.771  1.027  0.521  0.202 21.194 -2.17 200.00000  90.00000  0.061  9.032
  2.875  9.20  5 6.77 3.621  4.97  9 0.38  1.680  0.947  0.465  0.186 20.715 -2.22 200.00000  90.00000  0.061  8.519
  2.875  4.40  5 4.52 3.808  4.34  9 0.78  0.639  0.182  0.058  0.000 16.584 -1.75 200.00000  90.00000  0.061  4.299
  2.925 11.80  5 7.27 3.550  5.09  8 0.20  2.539  1.340  0.815  0.391 22.813 -0.80 200.00000  90.00000  0.061 10.220
  2.925 10.20  5 7.06 3.580  4.96  8 0.35  2.225  1.211  0.796  0.355 21.411 -0.13 200.00000  90.00000  0.061  9.022
  2.925 10.00  5 7.04 3.583  4.95  8 0.37  2.177  1.274  0.582  0.306 21.197 -0.96 200.00000  90.00000  0.061  8.867
  2.925  8.80  5 6.84 3.611  4.82  8 0.50  2.080  1.068  0.497  0.214 20.238 -0.44 200.00000  90.00000  0.061  7.951
  2.925  7.40  5 6.44 3.665  4.72  8 0.62  1.563  0.752  0.283  0.130 19.216 -0.87 200.00000  90.00000  0.061  6.930
  2.925  6.80  5 6.21 3.695  4.68  8 0.66  1.241  0.613  0.243  0.094 18.678 -0.99 200.00000  90.00000  0.061  6.469
  2.925  5.80  5 5.42 3.746  4.61  8 0.75  0.937  0.419  0.167  0.069 17.791 -0.74 200.00000  90.00000  0.061  5.637
  2.925  5.00  5 4.95 3.777  4.48  8 0.82  0.765  0.316  0.109  0.035 17.151 -0.72 200.00000  90.00000  0.061  4.893
  2.925  4.20  5 4.73 3.793  4.26  8 0.88  0.742  0.269  0.077  0.011 16.542 -0.55 200.00000  90.00000  0.061  4.108
  2.925  3.60  4 4.69 3.777  3.97  8 0.92  0.784  0.319  0.105  0.035 15.724 -0.56 200.00000  90.00000  0.061  3.507
  2.925 10.00  5 6.87 3.606  5.03  9 0.27  1.808  1.056  0.541  0.208 21.414 -2.91 200.00000  90.00000  0.061  9.200
  2.925  9.20  5 6.77 3.621  4.97  9 0.38  1.715  0.965  0.462  0.187 20.690 -1.71 200.00000  90.00000  0.061  8.519
  2.925  7.40  5 6.32 3.680  4.79  9 0.56  1.186  0.648  0.282  0.107 19.196 -2.30 200.00000  90.00000  0.061  7.055
  2.975 10.60  5 7.11 3.573  4.99  8 0.30  2.317  1.248  0.675  0.316 21.806 -0.51 200.00000  90.00000  0.061  9.335
  2.975  9.80  5 7.01 3.588  4.93  8 0.40  2.174  1.222  0.630  0.308 21.122 -0.70 200.00000  90.00000  0.061  8.713
  2.975  5.20  5 5.04 3.771  4.52  8 0.81  0.802  0.339  0.119  0.042 17.458 -0.62 200.00000  90.00000  0.061  5.084
  2.975  3.60  4 4.69 3.777  3.97  8 0.92  0.676  0.277  0.111  0.046 15.818 -1.67 200.00000  90.00000  0.061  3.507
  2.975  8.80  5 6.70 3.630  4.93  9 0.43  1.540  0.893  0.420  0.172 20.483 -1.85 200.00000  90.00000  0.061  8.187
  2.975  8.60  5 6.66 3.635  4.90  9 0.45  1.557  0.887  0.398  0.166 20.170 -1.54 200.00000  90.00000  0.061  8.021
  2.975  7.80  5 6.46 3.662  4.82  9 0.53  1.335  0.733  0.322  0.125 19.601 -2.96 200.00000  90.00000  0.061  7.374
  2.975  5.60  5 5.05 3.770  4.61  9 0.70  0.656  0.294  0.126  0.060 17.892 -2.02 200.00000  90.00000  0.061  5.470
  3.025 11.40  5 7.21 3.558  5.06  8 0.23  2.435  1.324  0.767  0.374 22.577 -0.76 200.00000  90.00000  0.061  9.940
  3.025  9.80  5 7.01 3.588  4.93  8 0.40  2.179  1.220  0.637  0.308 21.188 -0.67 200.00000  90.00000  0.061  8.713
  3.025  8.60  5 6.80 3.617  4.80  8 0.52  1.945  1.029  0.443  0.202 20.099 -0.78 200.00000  90.00000  0.061  7.803
  3.025  7.80  5 6.58 3.647  4.74  8 0.59  1.760  0.846  0.325  0.164 19.691 -0.73 200.00000  90.00000  0.061  7.224
  3.025  7.20  5 6.37 3.674  4.71  8 0.63  1.399  0.702  0.270  0.110 19.147 -1.07 200.00000  90.00000  0.061  6.779
  3.025  6.80  5 6.21 3.695  4.68  8 0.66  1.657  0.635  0.222  0.111 18.797 -0.33 200.00000  90.00000  0.061  6.469
  3.025  6.60  5 6.12 3.705  4.67  8 0.68  1.231  0.575  0.228  0.092 18.599 -0.87 200.00000  90.00000  0.061  6.310
  3.025  6.20  5 5.75 3.726  4.65  8 0.71  0.985  0.485  0.203  0.081 18.394 -1.02 200.00000  90.00000  0.061  5.982
  3.025  5.80  5 5.42 3.746  4.61  8 0.75  0.868  0.409  0.170  0.068 18.056 -0.97 200.00000  90.00000  0.061  5.637
  3.025  5.20  5 5.04 3.771  4.52  8 0.81  0.834  0.347  0.116  0.041 17.379 -0.44 200.00000  90.00000  0.061  5.084
  3.025  4.40  5 4.75 3.791  4.32  8 0.87  0.728  0.269  0.083  0.015 16.766 -0.73 200.00000  90.00000  0.061  4.305
  3.025  9.60  5 6.82 3.614  5.00  9 0.32  1.832  1.039  0.493  0.203 21.150 -1.27 200.00000  90.00000  0.061  8.862
  3.025  6.00  5 5.33 3.752  4.67  9 0.67  0.776  0.374  0.160  0.068 18.248 -1.35 200.00000  90.00000  0.061  5.856
  3.075 11.00  5 7.16 3.566  5.03  8 0.26  2.247  1.222  0.868  0.390 22.167 -0.17 200.00000  90.00000  0.061  9.642
  3.075 10.80  5 7.14 3.569  5.01  8 0.28  2.327  1.314  0.662  0.326 22.128 -0.79 200.00000  90.00000  0.061  9.490
  3.075 10.20  5 7.06 3.580  4.96  8 0.35  2.250  1.248  0.649  0.313 21.473 -0.63 200.00000  90.00000  0.061  9.022
  3.075  5.40  5 5.15 3.763  4.55  8 0.79  0.772  0.348  0.137  0.051 17.569 -1.00 200.00000  90.00000  0.061  5.272
  3.075  5.20  5 5.04 3.771  4.52  8 0.81  0.763  0.328  0.122  0.042 17.513 -0.89 200.00000  90.00000  0.061  5.084
  3.075  4.40  5 4.75 3.791  4.32  8 0.87  0.699  0.258  0.085  0.016 16.786 -1.01 200.00000  90.00000  0.061  4.305
  3.125 11.60  5 7.24 3.554  5.08  8 0.21  2.590  1.461  0.712  0.296 22.916 -1.47 200.00000  90.00000  0.061 10.082
  3.125 10.60  5 7.11 3.573  4.99  8 0.30  2.300  1.280  0.641  0.308 21.993 -0.67 200.00000  90.00000  0.061  9.335
  3.125 10.00  5 7.04 3.583  4.95  8 0.37  2.166  1.279  0.572  0.301 21.506 -1.05 200.00000  90.00000  0.061  8.867
  3.125  9.60  5 6.98 3.592  4.91  8 0.42  2.066  1.210  0.558  0.295 21.071 -1.15 200.00000  90.00000  0.061  8.559
  3.125  8.60  5 6.80 3.617  4.80  8 0.52  1.902  1.027  0.458  0.203 20.258 -0.91 200.00000  90.00000  0.061  7.803
  3.125  8.40  5 6.75 3.623  4.78  8 0.54  1.831  0.981  0.437  0.194 19.976 -1.00 200.00000  90.00000  0.061  7.657
  3.125  8.20  5 6.70 3.631  4.77  8 0.56  1.768  0.931  0.391  0.183 20.043 -0.84 200.00000  90.00000  0.061  7.513
  3.125  8.00  5 6.64 3.638  4.75  8 0.57  1.664  0.889  0.370  0.170 19.713 -0.98 200.00000  90.00000  0.061  7.368
  3.125  5.40  5 5.15 3.763  4.55  8 0.79  0.737  0.338  0.139  0.056 17.743 -1.28 200.00000  90.00000  0.061  5.272
  3.125  4.60  5 4.80 3.787  4.38  8 0.86  0.716  0.275  0.092  0.022 16.953 -0.92 200.00000  90.00000  0.061  4.502
  3.125  7.20  5 6.25 3.690  4.77  9 0.58  1.119  0.606  0.263  0.104 19.168 -1.84 200.00000  90.00000  0.061  6.893
  3.125  6.60  5 5.84 3.721  4.73  9 0.62  0.856  0.474  0.215  0.099 18.766 -1.92 200.00000  90.00000  0.061  6.392
  3.175 11.20  5 7.19 3.562  5.04  8 0.24  2.431  1.393  0.687  0.345 22.475 -0.99 200.00000  90.00000  0.061  9.792
  3.175 11.00  5 7.16 3.566  5.03  8 0.26  2.286  1.233  0.818  0.376 22.261 -0.31 200.00000  90.00000  0.061  9.642
  3.175 10.80  5 7.14 3.569  5.01  8 0.28  2.287  1.235  0.784  0.359 22.062 -0.33 200.00000  90.00000  0.061  9.490
  3.175  9.40  5 6.95 3.596  4.89  8 0.44  2.078  1.176  0.571  0.288 20.814 -0.85 200.00000  90.00000  0.061  8.405
  3.175  8.00  5 6.64 3.638  4.75  8 0.57  1.895  0.901  0.353  0.180 19.926 -0.54 200.00000  90.00000  0.061  7.368
  3.175  6.20  5 5.75 3.726  4.65  8 0.71  1.030  0.489  0.202  0.082 18.481 -0.92 200.00000  90.00000  0.061  5.982
  3.175  6.00  5 5.58 3.737  4.63  8 0.73  1.029  0.454  0.183  0.077 18.212 -0.72 200.00000  90.00000  0.061  5.812
  3.175  5.80  5 5.42 3.746  4.61  8 0.75  0.919  0.417  0.168  0.069 18.000 -0.80 200.00000  90.00000  0.061  5.637
  3.175 10.20  5 6.90 3.603  5.05  9 0.25  1.837  1.077  0.556  0.213 21.646 -2.11 200.00000  90.00000  0.061  9.367
  3.175  9.40  5 6.79 3.617  4.99  9 0.35  1.711  0.976  0.486  0.192 21.116 -2.54 200.00000  90.00000  0.061  8.690
  3.175  6.40  5 5.66 3.731  4.72  9 0.64  0.897  0.454  0.196  0.084 18.584 -1.29 200.00000  90.00000  0.061  6.219
  3.175  4.80  5 4.65 3.798  4.45  9 0.76  0.672  0.230  0.074  0.008 17.150 -1.22 200.00000  90.00000  0.061  4.690
  3.225 11.40  5 7.21 3.558  5.06  8 0.23  2.437  1.327  0.766  0.373 22.743 -0.77 200.00000  90.00000  0.061  9.940
  3.225 10.80  5 7.14 3.569  5.01  8 0.28  2.323  1.368  0.616  0.308 22.229 -1.05 200.00000  90.00000  0.061  9.490
  3.225 10.20  5 7.06 3.580  4.96  8 0.35  2.247  1.251  0.644  0.312 21.749 -0.66 200.00000  90.00000  0.061  9.022
  3.225  9.60  5 6.98 3.592  4.91  8 0.42  2.099  1.208  0.574  0.301 21.045 -0.92 200.00000  90.00000  0.061  8.559
  3.225  9.20  5 6.91 3.601  4.87  8 0.47  2.001  1.141  0.514  0.270 20.702 -0.99 200.00000  90.00000  0.061  8.252
  3.225  8.80  5 6.84 3.611  4.82  8 0.50  1.875  1.058  0.506  0.209 20.414 -1.23 200.00000  90.00000  0.061  7.951
  3.225  7.20  5 6.37 3.674  4.71  8 0.63  1.592  0.713  0.260  0.122 19.335 -0.71 200.00000  90.00000  0.061  6.779
  3.225  5.00  5 4.95 3.777  4.48  8 0.82  0.774  0.319  0.108  0.035 17.378 -0.65 200.00000  90.00000  0.061  4.893
  3.225  4.00  5 4.73 3.793  4.18  8 0.90  0.696  0.250  0.081  0.013 16.382 -1.02 200.00000  90.00000  0.061  3.911
  3.225 10.60  5 6.96 3.595  5.09  9 0.22  1.968  1.176  0.548  0.275 22.218 -1.53 200.00000  90.00000  0.061  9.697
  3.225  5.00  5 4.73 3.792  4.49  9 0.75  0.642  0.230  0.086  0.025 17.555 -1.82 200.00000  90.00000  0.061  4.885
  3.275 11.60  5 7.24 3.554  5.08  8 0.21  2.292  1.209  0.920  0.422 22.836 -0.27 200.00000  90.00000  0.061 10.082
  3.275 11.20  5 7.19 3.562  5.04  8 0.24  2.347  1.242  0.794  0.378 22.522 -0.48 200.00000  90.00000  0.061  9.792
  3.275 10.40  5 7.09 3.576  4.98  8 0.32  2.247  1.312  0.583  0.294 21.835 -0.92 200.00000  90.00000  0.061  9.179
  3.275  8.80  5 6.84 3.611  4.82  8 0.50  1.953  1.070  0.502  0.212 20.410 -0.87 200.00000  90.00000  0.061  7.951
  3.275  6.60  5 6.12 3.705  4.67  8 0.68  1.254  0.576  0.227  0.092 18.710 -0.83 200.00000  90.00000  0.061  6.310
