       0       0    3.4730555555555553E-01   -3.8597685185185188E-01
       0       1    3.4730555555555553E-01   -2.5449537037037034E-01
       0       2    3.4730555555555553E-01   -1.2301388888888889E-01
       0       3    3.4730555555555553E-01    8.4675925925925925E-03
       0       4    3.4730555555555553E-01    1.3994907407407409E-01
       0       5    3.4730555555555553E-01    2.7143055555555556E-01
       1       0    2.3093981481481482E-01   -3.8597685185185188E-01
       1       1    2.3093981481481482E-01   -2.5449537037037034E-01
       1       2    2.3093981481481482E-01   -1.2301388888888889E-01
       1       3    2.3093981481481482E-01    8.4675925925925925E-03
       1       4    2.3093981481481482E-01    1.3994907407407409E-01
       1       5    2.3093981481481482E-01    2.7143055555555556E-01
       2       0    1.1457407407407408E-01   -3.8597685185185188E-01
       2       1    1.1457407407407408E-01   -2.5449537037037034E-01
       2       2    1.1457407407407408E-01   -1.2301388888888889E-01
       2       3    1.1457407407407408E-01    8.4675925925925925E-03
       2       4    1.1457407407407408E-01    1.3994907407407409E-01
       2       5    1.1457407407407408E-01    2.7143055555555556E-01
       3       0   -1.7916666666666667E-03   -3.8597685185185188E-01
       3       1   -1.7916666666666667E-03   -2.5449537037037034E-01
       3       2   -1.7916666666666667E-03   -1.2301388888888889E-01
       3       3   -1.7916666666666667E-03    8.4675925925925925E-03
       3       4   -1.7916666666666667E-03    1.3994907407407409E-01
       3       5   -1.7916666666666667E-03    2.7143055555555556E-01
       4       0   -1.1815740740740741E-01   -3.8597685185185188E-01
       4       1   -1.1815740740740741E-01   -2.5449537037037034E-01
       4       2   -1.1815740740740741E-01   -1.2301388888888889E-01
       4       3   -1.1815740740740741E-01    8.4675925925925925E-03
       4       4   -1.1815740740740741E-01    1.3994907407407409E-01
       4       5   -1.1815740740740741E-01    2.7143055555555556E-01
       5       0   -2.3452314814814815E-01   -3.8597685185185188E-01
       5       1   -2.3452314814814815E-01   -2.5449537037037034E-01
       5       2   -2.3452314814814815E-01   -1.2301388888888889E-01
       5       3   -2.3452314814814815E-01    8.4675925925925925E-03
       5       4   -2.3452314814814815E-01    1.3994907407407409E-01
       5       5   -2.3452314814814815E-01    2.7143055555555556E-01
